,Book Value Per Share * CAD,Unnamed: 1,7.59,7.36,7.65,6.36,6.41,6.11,6.48,6.58,6.93,7.03
0,Operating Cash Flow CAD Mil,375,173,202,218,107,165,182,113,175,186,171
